NF Número;Série;Mod;Data;CFOP;;Cliente;;Total Nota;ICMS
183578;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;200,02;0
183579;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;75,23;0
183580;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;75,24;0
183581;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;54,27;0
183582;1;65;08/05/2025;5102;;CLIENTES DIVERSOS;;58,91;0
183583;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;17,63;0
183584;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;4,84;0
183585;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;42,6;0
183586;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;99,33;0
183587;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;81,53;0
183588;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;87,5;0
183589;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;182,19;0
183590;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;31,62;0
183591;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;30,87;0
183592;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;63,75;0
183593;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;13,5;0
183594;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;5,69;0
183595;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;20,47;0
183596;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;14,55;0
183597;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;193,05;0
183598;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;120,15;0
183599;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;34,48;0
183600;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;32,24;0
183601;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;35,38;0
183602;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;166,79;0
183603;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;14,25;0
183604;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;117,22;0
183605;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;85;0
183606;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;52,02;0
183607;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;152,63;0
183608;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;34,41;0
183609;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;7,98;0
183610;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;185,14;0
183611;1;65;09/05/2025;5102;;CLIENTES DIVERSOS;;83,7;0
183612;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;18,55;0
183613;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;270,32;0
183614;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;112,34;0
183615;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;53,97;0
183616;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;71,6;0
183617;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;38,27;0
183618;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;170,28;0
183619;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;41,9;0
183620;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;8,2;0
183621;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;144,22;0
183622;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;211,69;0
183623;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;162,91;0
183624;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;30,66;0
183625;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;35,22;0
183626;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;71,4;0
183627;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;45,94;0
183628;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;72,48;0
183629;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;123,11;0
183630;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;139,96;0
183631;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;65,88;0
183632;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;43,98;0
183633;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;215,97;0
183634;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;14,7;0
183635;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;62,03;0
183636;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;33,47;0
183637;1;65;10/05/2025;5102;;CLIENTES DIVERSOS;;73,51;0
183638;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;88,43;0
183639;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;111,49;0
183640;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;51,47;0
183641;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;73,68;0
183642;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;91,83;0
183643;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;46,55;0
183644;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;110,74;0
183645;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;128,44;0
183646;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;111,19;0
183647;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;12,98;0
183648;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;127,57;0
183649;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;85,64;0
183650;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;288,92;0
183651;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;191,9;0
183652;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;46,82;0
183653;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;66,69;0
183654;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;251,3;0
183655;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;194,98;0
183656;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;97,34;0
183657;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;116,93;0
183658;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;178,03;0
183659;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;20,14;0
183660;1;65;11/05/2025;5102;;CLIENTES DIVERSOS;;36,3;0
183661;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;14;0
183662;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;58,42;0
183663;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;61,84;0
183664;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;13,61;0
183665;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;31,79;0
183666;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;80,38;0
183667;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;85,63;0
183668;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;34,87;0
183669;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;33,85;0
183670;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;42,71;0
183671;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;83,86;0
183672;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;128,6;0
183673;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;30,34;0
183674;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;42,23;0
183675;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;15,57;0
183676;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;41,74;0
183677;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;20,37;0
183678;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;4,58;0
183679;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;59,8;0
